,id,popularity,budget,revenue,original_title,director,keywords,runtime,genres,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
15,273248,5.8984,44000000,155760117,The Hateful Eight,Quentin Tarantino,bounty hunter|wyoming|mountains|hangman|voice over narration,167,Crime,2015-12-25,2389,7.4,2015,40479982.18880779,143299244.588332
16,260346,5.749758,48000000,325771424,Taken 3,Olivier Megaton,revenge|murder|on the run|fugitive|framed,109,Crime,2015-01-01,1578,6.1,2015,44159980.5696085,299709578.207785
17,102899,5.5731839999999995,130000000,518602163,Ant-Man,Peyton Reed,marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,115,Science Fiction,2015-07-14,3779,7.0,2015,119599947.376023,477113780.029936
18,150689,5.556818,95000000,542351353,Cinderella,Kenneth Branagh,cinderella|magic|fairy tale|princess|shoe,112,Romance,2015-03-12,1495,6.8,2015,87399961.54401691,498963025.21626794
19,131634,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,revolution|strong woman|dystopia|game of death|3d,136,War,2015-11-18,2380,6.5,2015,147199935.232028,598481289.508232
20,158852,5.4621379999999995,190000000,209035668,Tomorrowland,Brad Bird,inventor|apocalypse|destiny|imax|dreamer,130,Action,2015-05-19,1899,6.2,2015,174799923.08803302,192312729.942398
21,307081,5.337064,30000000,91709827,Southpaw,Antoine Fuqua,sport,123,Action,2015-06-15,1386,7.3,2015,27599987.856005296,84373003.7158783
22,254128,4.907832,110000000,470490832,San Andreas,Brad Peyton,california|earthquake|catastrophe|disaster film|3d,114,Action,2015-05-27,2060,6.1,2015,101199955.47201899,432851374.985395
23,216015,4.71040199999999,40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,based on novel|billionaire|bdsm|woman director|erotic movie,125,Drama,2015-02-11,1865,5.3,2015,36799983.808007106,524079119.045187
24,318846,4.648046,28000000,133346506,The Big Short,Adam McKay,bank|fraud|biography|wall street|finances,130,Comedy,2015-12-11,1545,7.3,2015,25759988.665604897,122678731.54135801
25,177677,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,spy|sequel|mission,131,Action,2015-07-23,2349,7.1,2015,137999939.280026,627743451.672881
26,214756,4.5645489999999995,68000000,215863606,Ted 2,Seth MacFarlane,sperm bank|sequel|buddy|courthouse|teddy bear,115,Comedy,2015-06-25,1666,6.3,2015,62559972.4736121,198594430.13845
27,207703,4.503789,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,spy|great britain|secret organization|secret agent|marvel comic,130,Crime,2015-01-24,3833,7.6,2015,74519967.21121441,371497801.660967
28,314365,4.062293,20000000,88346473,Spotlight,Tom McCarthy,child abuse|journalism|judge|florida|boston,128,Drama,2015-11-06,1559,7.8,2015,18399991.9040035,81278719.39736341
29,294254,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,based on novel|resistance|maze|post-apocalyptic|dystopia,132,Action,2015-09-09,1849,6.4,2015,56119975.30721079,286356245.923251
30,280996,3.927333,0,29355203,Mr. Holmes,Bill Condon,london|detective|sherlock holmes,103,Mystery,2015-06-19,425,6.4,2015,0.0,27006774.877019
31,198184,3.899557,49000000,102069268,Chappie,Neill Blomkamp,artificial intelligence|android|robot|near future|robot cop,120,Crime,2015-03-04,1990,6.6,2015,45079980.164808705,93903685.2423785
32,254470,3.877764,29000000,287506194,Pitch Perfect 2,Elizabeth Banks,music|sequel|singer|male female relationship|audition,115,Comedy,2015-05-07,1264,6.8,2015,26679988.260805104,264505582.09754303
33,296098,3.6482099999999997,40000000,162610473,Bridge of Spies,Steven Spielberg,spy|cia|cold war|pilot|lawyer,141,Thriller,2015-10-15,1638,7.1,2015,36799983.808007106,149601569.335309
34,257445,3.6445410000000003,58000000,150170815,Goosebumps,Rob Letterman,based on novel|magic|fantasy|family|3d,103,Adventure,2015-08-05,600,6.2,2015,53359976.5216103,138157089.01088
35,264644,3.557846,6000000,35401758,Room,Lenny Abrahamson,based on novel|carpet|isolation|imprisonment|grandparents,117,Drama,2015-10-16,1520,8.0,2015,5519997.57120106,32569603.029374603
36,339527,3.358321,0,22354572,Solace,Afonso Poyart,thriller|serial killer|psychic|fbi agent|intrigue,101,Crime,2015-09-03,474,6.2,2015,0.0,20566197.1908732
37,105864,3.3391349999999997,175000000,331926147,The Good Dinosaur,Peter Sohn,tyrannosaurus rex|friends|animation|alternate history|dinosaur,93,Adventure,2015-11-14,1087,6.6,2015,160999929.16003102,305371920.876354
38,241554,3.23737,50000000,71561644,Run All Night,Jaume Collet-Serra,hitman|revenge|murder|on the run|mobster,114,Action,2015-03-11,814,6.3,2015,45999979.7600089,65836683.5118592
39,167073,3.227329,11000000,62076141,Brooklyn,John Crowley,love triangle|based on novel|homesickness|vororte|ship,111,Drama,2015-11-04,754,7.3,2015,10119995.5472019,57110024.5915891
40,277216,3.2027189999999996,28000000,201634991,Straight Outta Compton,F. Gary Gray,brother brother relationship|aids|police brutality|hip-hop|wife husband relationship,147,Drama,2015-08-13,918,7.7,2015,25759988.665604897,185504110.098191
41,274854,3.080505,90000000,140396650,The Last Witch Hunter,Breck Eisner,new york|witch|uprising|witch hunter,106,Fantasy,2015-10-21,879,5.6,2015,82799963.56801601,129164861.16746101
42,321697,3.0795220000000003,30000000,34441873,Steve Jobs,Danny Boyle,biography|computer|based on true story|father daughter relationship|apple computer,122,History,2015-10-09,1035,6.9,2015,27599987.856005296,31686509.2179359
43,203801,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,Guy Ritchie,spy|cold war|remake|based on tv series|buddy cop,116,Comedy,2015-08-13,1548,7.0,2015,68999969.64001329,99493456.50287908
44,293863,3.025852,25000000,42629776,The Age of Adaline,Lee Toland Krieger,san francisco|immortality|love|forever,112,Fantasy,2015-04-16,1221,7.3,2015,22999989.8800044,39219376.6634742
45,325348,3.023253,10000000,14333790,Hardcore Henry,Ilya Naishuller,female nudity|cyborg|nudity|murder|gore,97,Action,2015-09-12,396,5.9,2015,9199995.95200178,13187080.9976843
46,228161,2.976436,135000000,368871007,Home,Tim Johnson,friendship|spaceship|space|alien|alien invasion,94,Fantasy,2015-03-18,1060,6.9,2015,124199945.352024,339361177.121082
47,286565,2.968254,12000000,85512300,Paper Towns,Jake Schreier,friendship|high school|teen|classmate|based on young adult book,109,Drama,2015-07-09,1252,6.2,2015,11039995.1424021,78671281.38463621
48,265208,2.93234,30000000,0,Wild Card,Simon West,gambling|bodyguard|remake,92,Thriller,2015-01-14,481,5.3,2015,27599987.856005296,0.0
49,254320,2.8851259999999996,4000000,9064511,The Lobster,Yorgos Lanthimos,dystopia,118,Thriller,2015-10-08,638,6.6,2015,3679998.38080071,8339346.45068756
50,258480,2.883233,11800000,40272135,Carol,Todd Haynes,gay|new york|female nudity|chicago|sex,118,Romance,2015-11-20,562,7.1,2015,10855995.2233621,37050347.8978469
51,257211,2.8148020000000002,35000000,194564672,The Intern,Nancy Meyers,intern|woman director,121,Comedy,2015-09-24,1255,7.1,2015,32199985.8320062,178999419.480255
52,253412,2.7980169999999998,55000000,203427584,Everest,Baltasar KormÃ¡kur,mountains|snow storm|hiking|snow|death,121,Adventure,2015-09-10,1172,6.7,2015,50599977.7360098,187153294.93255
53,274479,2.793297,60000000,101134059,Joy,David O. Russell,biography,124,Comedy,2015-12-24,1001,6.4,2015,55199975.71201059,93043293.3409509
54,257088,2.6144990000000004,105000000,133718711,Point Break,Ericson Core,undercover|undercover agent|extreme sports|fbi agent|3d,114,Action,2015-12-03,505,5.5,2015,96599957.49601871,123021159.990689
55,295964,2.584264,20000000,36606743,Burnt,John Wells,london|cook|restaurant|diva|career,100,Drama,2015-10-02,631,6.3,2015,18399991.9040035,33678188.7415969
56,238615,2.578919,26000000,30523226,Self/less,Tarsem Singh,lie|immortality|terminal illness|laboratory|cancer,116,Science Fiction,2015-07-10,719,6.2,2015,23919989.475204602,28081355.564203497
57,210860,2.575711,60000000,30418560,Mortdecai,David Koepp,based on novel|painting|debt|art dealer|stolen painting,106,Comedy,2015-01-21,696,5.3,2015,55199975.71201059,27985062.8865723
58,306819,2.557859,15000000,64191523,The Danish Girl,Tom Hooper,paris|denmark|copenhagen|artist|art,120,Drama,2015-11-27,867,7.3,2015,13799993.9280026,59056175.175282896
59,201088,2.5507470000000003,70000000,17752940,Blackhat,Michael Mann,terrorist|technology|anti hero|hacker|computer virus,133,Mystery,2015-01-13,584,5.0,2015,64399971.6640124,16332697.613613
60,273481,2.487849,30000000,84025816,Sicario,Denis Villeneuve,mexico|cia|smoking|texas|fbi,121,Action,2015-09-17,1479,7.1,2015,27599987.856005296,77303716.7063646
61,166424,2.4870419999999998,120000001,167977596,Fantastic Four,Josh Trank,teleportation|transformation|telekinesis|portal|marvel comic,100,Action,2015-08-05,1565,4.4,2015,110399952.34402,154539320.322699
62,310131,2.46449,3500000,40423945,The Witch,Robert Eggers,witch|new england|17th century,92,Mystery,2015-03-24,700,5.8,2015,3219998.58320062,37190013.0363942
63,238713,2.404473,65000000,235666219,Spy,Paul Feig,spy|cia|undercover|arms dealer|disaster,120,Action,2015-05-06,1840,6.9,2015,59799973.6880115,216812826.082356
64,256591,2.395366,50100000,153962963,Focus,Glenn Ficarra|John Requa,seduction|con man|femme fatale|deception|con artist,105,Romance,2015-02-25,1831,6.7,2015,46091979.7195289,141645863.63582
65,249070,2.354654,35000000,82347656,Hitman: Agent 47,Aleksander Bach,assassin|secret identity|intelligence|hitman|execution,96,Action,2015-08-20,820,5.5,2015,32199985.8320062,75759810.18568349
66,205775,2.345821,100000000,93820758,In the Heart of the Sea,Ron Howard,suicide|ocean|sea|hunger|shipwreck,122,Thriller,2015-11-20,805,6.4,2015,91999959.5200178,86315059.3813738
67,334074,2.331636,20000000,0,Survivor,James McTeigue,new year's eve|fire|showdown|terrorist|embassy,96,Crime,2015-05-21,280,5.4,2015,18399991.9040035,0.0
68,312221,2.3315669999999997,35000000,137935567,Creed,Ryan Coogler,underdog|sport|spin off|underground fighting|motivational speaker,133,Drama,2015-11-25,1171,7.3,2015,32199985.8320062,126900665.803707
69,271718,2.31767,35000000,140795793,Trainwreck,Judd Apatow,alcohol|one-night stand,125,Comedy,2015-07-17,849,6.1,2015,32199985.8320062,129532072.56588799
70,333352,2.29573,13000000,32848185,Eye in the Sky,Gavin Hood,terrorist|drone|u.s. military|air force base|combat drone,102,Drama,2015-09-11,265,7.2,2015,11959994.737602301,30220316.9030605
71,276907,2.28135,25000000,42972994,Legend,Brian Helgeland,biography|based on true story|gangster|twins,131,Crime,2015-09-09,619,6.7,2015,22999989.8800044,39535137.0845396
72,284289,2.2720439999999997,0,45895,Beyond the Reach,Jean-Baptiste LÃ©onetti,desert|hunting,95,Thriller,2015-04-17,81,5.5,2015,0.0,42223.381421712096
73,266647,2.234573,150000000,128388320,Pan,Joe Wright,flying|magic|fairy tale|peter pan|mermaid,111,Adventure,2015-09-24,586,5.9,2015,137999939.280026,118117202.42843
74,347096,2.165433,0,0,Mythica: The Darkspore,Anne K. Black,sword|magic|sorcery|necromancer|woman director,108,Action,2015-06-24,27,5.1,2015,0.0,0.0
75,308369,2.141506,0,0,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,tattoo|high school|leukemia|friends|parody,105,Comedy,2015-06-12,569,7.7,2015,0.0,0.0
76,227973,2.140199,99000000,246233113,The Peanuts Movie,Steve Martino,based on comic strip|family|3d|charlie brown|snoopy,88,Adventure,2015-11-05,414,6.4,2015,91079959.92481759,226534364.284879
77,321741,2.121884,35000000,48623572,Concussion,Peter Landesman,american football|biography|professional sports|sports injury|nfl,123,Drama,2015-11-12,500,6.9,2015,32199985.8320062,44733666.5571867
78,296100,2.096273,25000000,52395996,The Night Before,Jonathan Levine,male friendship|new york city|drug|christmas eve|childhood friend,100,Comedy,2015-11-20,363,6.1,2015,22999989.8800044,48204295.110110104
79,263472,2.0809349999999998,2500000,5214043,Knock Knock,Eli Roth,female nudity|sex|disc jockey|infidelity|rain,99,Drama,2015-06-26,473,4.8,2015,2299998.98800044,4796917.44935632
80,228205,2.070708,34000000,63013281,The Longest Ride,"George Tillman, Jr.",based on novel|art student|cowboys|injury|bull riding,128,Romance,2015-04-09,711,7.3,2015,31279986.236806,57972193.012235
81,159824,2.060162,80000000,466183544,Hotel Transylvania 2,Genndy Tartakovsky,transylvania|hotel|witch|technology|magic,89,Animation,2015-09-21,919,6.8,2015,73599967.61601421,428888671.76898396
82,333348,2.055572,17000000,24000000,Love the Coopers,Jessie Nelson,big family|family relationships|family|woman director|christmas,107,Family,2015-11-12,111,5.3,2015,15639993.118403,22079990.2848042
83,285783,2.049886,35000000,61181942,The Walk,Robert Zemeckis,1970s|skyscraper|based on true story|tightrope|planning,123,Adventure,2015-09-30,706,6.8,2015,32199985.8320062,56287361.873560704
84,290764,2.0266509999999998,11000000,1863315,Tracers,Daniel Benmayor,chinese mafia|parkour|new york city|loan shark|young adult,94,Action,2015-01-15,326,5.9,2015,10119995.5472019,1714249.04573042
85,296099,2.000338,31000000,104384188,Vacation,John Francis Daley|Jonathan M. Goldstein,route 66|grand canyon|cow|vacation|road trip,99,Adventure,2015-07-28,846,6.1,2015,28519987.4512055,96033410.70529921
86,243688,1.984529,35000000,95437994,Poltergeist,Gil Kenan,poltergeist|haunted house|remake|duringcreditsstinger,93,Horror,2015-05-20,589,5.0,2015,32199985.8320062,87802915.846717
87,287424,1.9800389999999999,4000000,187112,Maggie,Henry Hobson,post-apocalyptic|dystopia|zombies,95,Horror,2015-05-08,384,5.1,2015,3679998.38080071,172142.964257095
88,301875,1.9597650000000002,0,2000000,Equals,Drake Doremus,illustrator|sex scene|near future|infected|emotions,101,Drama,2015-09-04,135,5.6,2015,0.0,1839999.19040035
89,181283,1.95632,50000000,3324330,Child 44,Daniel Espinosa,murder|serial killer|military|chili|soviet union,137,Crime,2015-03-15,341,5.9,2015,45999979.7600089,3058382.2543117995
90,328425,1.926739,5000000,58978653,The Gift,Joel Edgerton,detective|stalker|gift|bully|psychological thriller,108,Thriller,2015-07-30,631,6.6,2015,4599997.97600089,54260336.885451704
91,274167,1.904898,50000000,240360392,Daddy's Home,Sean Anders,daddys home,96,Comedy,2015-12-25,568,5.7,2015,45999979.7600089,221131463.342156
92,370687,1.876037,0,0,Mythica: The Necromancer,A. Todd Smith,sword|magic|sorcery|necromancer,0,Fantasy,2015-12-19,11,5.4,2015,0.0,0.0
93,307663,1.872696,10000000,0,Vice,Brian A Miller,artificial intelligence|android|self-awareness|mercenary|virtual reality,96,Thriller,2015-01-16,181,4.1,2015,9199995.95200178,0.0
94,309809,1.865007,64000000,97571250,The Little Prince,Mark Osborne,philosophy|utopia|airplane|adventure|dystopia,92,Adventure,2015-07-29,423,7.5,2015,58879974.0928114,89765510.50317529
95,258509,1.841779,0,233755553,Alvin and the Chipmunks: The Road Chip,Walt Becker,chipmunk|cgi|talking animal|aftercreditsstinger|duringcreditsstinger,92,Adventure,2015-12-17,278,5.7,2015,0.0,215055014.135793
96,298382,1.82313,11930000,18340000,The Dressmaker,Jocelyn Moorhouse,based on novel|australia|dressmaker|hometown|woman director,118,Drama,2015-10-01,197,6.9,2015,10975595.1707381,16872792.5759712
97,272693,1.758618,8500000,43528634,The DUFF,Ari Sandel,high school|teenager|popularity|high school senior|teen comedy,100,Romance,2015-02-20,753,6.8,2015,7819996.55920151,40046325.65961671
98,283445,1.742286,10000000,52882018,Sinister 2,Ciaran Foy,haunted house|sequel|twins,97,Horror,2015-08-19,331,5.5,2015,9199995.95200178,48651435.1533685
99,256961,1.73518,30000000,107597242,Paul Blart: Mall Cop 2,Andy Fickman,shopping mall|las vegas nevada|security guard,94,Action,2015-04-16,422,5.3,2015,27599987.856005296,98989419.0846556
100,326359,1.7247119999999898,0,0,Frozen Fever,Chris Buck|Jennifer Lee,sister sister relationship|birthday|song|birthday party|flu,8,Adventure,2015-03-09,475,7.0,2015,0.0,0.0
101,254302,1.661789,0,0,High-Rise,Ben Wheatley,skyscraper|high rise,119,Action,2015-09-26,161,5.4,2015,0.0,0.0
102,241251,1.6510779999999898,4000000,50163103,The Boy Next Door,Rob Cohen,male nudity|female nudity|sex|adultery|infidelity,91,Thriller,2015-01-23,810,3.9,2015,3679998.38080071,46150034.4539848
103,292040,1.646664,0,0,Spooks: The Greater Good,Bharat Nalluri,corruption|terrorist|explosive|police|kidnapping,104,Thriller,2015-04-11,114,5.6,2015,0.0,0.0
104,188222,1.532997,30000000,49263404,Entourage,Doug Ellin,friendship|hollywood|movie star|entourage,104,Comedy,2015-06-03,364,6.2,2015,27599987.856005296,45322311.73818279
105,252838,1.5100959999999999,23000000,79799880,The Wedding Ringer,Jeremy Garelick,male friendship|impersonator|wedding|lying|best man,101,Comedy,2015-01-16,446,6.5,2015,21159990.689604,73415857.2970227
106,273477,1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,female nudity|shotgun|nudity|strip club|party,93,Comedy,2015-10-23,288,6.2,2015,13799993.9280026,13671898.704364501
107,298312,1.495112,5000000,98450062,The Visit,M. Night Shyamalan,rap|pennsylvania|brother sister relationship|farm|grandparents,94,Horror,2015-09-10,729,5.9,2015,4599997.97600089,90574017.18743241
108,261023,1.4832459999999899,53000000,99775678,Black Mass,Scott Cooper,boston|based on true story|organized crime,122,Crime,2015-09-04,848,6.3,2015,48759978.5456094,91793583.3708233
109,336004,1.449072,8900000,50136,Heist,Scott Mann,casino|robbery|bus hijacking|heist,93,Crime,2015-11-13,233,5.4,2015,8187996.39728158,46125.099704956105
110,287903,1.448002,15000000,61548707,Krampus,Michael Dougherty,fire|winter|santa claus|snow storm|christmas tree,98,Horror,2015-11-26,342,5.9,2015,13799993.9280026,56624785.5250943
111,182560,1.443406,20000000,208588,Dark Places,Gilles Paquet-Brenner,prison|based on novel|brother sister relationship|satanism|witness,113,Drama,2015-03-31,322,5.7,2015,18399991.9040035,191900.87556361398
112,192141,1.41239,5000000,54418872,No Escape,John Erick Dowdle,coup|american|family|foreign,103,Action,2015-08-26,519,6.7,2015,4599997.97600089,50065340.2112503
113,308639,1.40805,700000,17986781,Dope,Rick Famuyiwa,california|hip-hop|harvard university|geek|coming of age,103,Crime,2015-06-19,448,7.3,2015,643999.716640124,16547831.2389542
114,261392,1.3882510000000001,28000000,28208085,American Ultra,Nima Nourizadeh,memory loss|stoner|black ops,96,Comedy,2015-08-19,695,5.9,2015,25759988.665604897,25951426.781372197
115,304357,1.388032,11000000,61619773,Woman in Gold,Simon Curtis,nazis|art|stolen painting,120,Drama,2015-04-10,277,7.3,2015,10119995.5472019,56690166.216326796
116,297291,1.38032,0,0,The Scorpion King: The Lost Throne,Mike Elliott,magic|fantasy|steampunk|dragon,105,Action,2015-01-09,22,4.5,2015,0.0,0.0
117,266294,1.3766049999999999,30000000,105011053,Sisters,Jason Moore,sister sister relationship|childhood home,118,Comedy,2015-12-18,399,5.9,2015,27599987.856005296,96610126.25154442
118,227719,1.360926,12000000,32248241,Project Almanac,Dean Israelite,time travel|time machine|teenager|found footage,106,Science Fiction,2015-01-30,637,6.3,2015,11039995.1424021,29668368.665917702
119,86828,1.360827,0,5189646,Absolutely Anything,Terry Jones,london|alien|teacher|talking animal|super powers,85,Comedy,2015-06-26,199,5.8,2015,0.0,4774472.21923222
120,287948,1.3558219999999999,25000000,72629670,The Transporter Refueled,Camille Delamarre,transporter|sequel|suspense|car|bank heist,96,Thriller,2015-09-03,407,5.3,2015,22999989.8800044,66819266.9995225
121,201085,1.345982,55000000,74679822,Crimson Peak,Guillermo del Toro,haunted house|mining|murder|spitting blood|gothic,119,Mystery,2015-10-13,819,6.4,2015,50599977.7360098,68705406.0096213
122,277355,1.342839,0,0,Everly,Joe Lynch,assassin|mob boss,90,Thriller,2015-01-23,169,5.1,2015,0.0,0.0
123,264999,1.338481,14800000,122413057,Magic Mike XXL,Gregory Jacobs,male friendship|strip club|road trip|strip tease|strip,115,Comedy,2015-07-01,501,6.3,2015,13615994.0089626,112619962.88721599
124,146301,1.338322,10000000,78099553,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,terror|supernatural|sequel|demon|found footage,88,Horror,2015-10-21,267,5.0,2015,9199995.95200178,71851557.1453148
125,223485,1.329702,0,229094,Slow West,John Maclean,fire|bounty hunter|shotgun|horseback riding|horse,84,Romance,2015-04-16,229,6.6,2015,0.0,210766.38726278898
126,294016,1.316239,15000000,8235661,Trumbo,Jay Roach,screenwriter|communist|biography|film history|hollywood,124,Drama,2015-10-27,273,7.2,2015,13799993.9280026,7576804.78620589
127,290751,1.315266,19500000,32189727,Secret in Their Eyes,Billy Ray,fbi|missing child,111,Crime,2015-10-14,202,6.2,2015,17939992.1064034,29614535.809604198
128,309245,1.29314,0,2500431,Mistress America,Noah Baumbach,comedy,84,Comedy,2015-08-14,132,6.4,2015,0.0,2300395.50782597
129,228165,1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,ocean|sea|star|water|comedy,93,Family,2015-02-05,533,5.7,2015,68079970.0448131,286666383.306791
131,272878,1.278928,20000000,43967255,Max,Boaz Yakin,afghanistan|war|based on true story|rescue|betrayal,111,Adventure,2015-06-26,214,7.0,2015,18399991.9040035,40449856.802063
132,263109,1.25358,0,59700000,Shaun the Sheep Movie,Mark Burton|Richard Starzack,countryside|sheep|based on tv series|memory loss|hospital,85,Family,2015-02-05,340,6.9,2015,0.0,54923975.83345061
133,157827,1.251681,11000000,0,Louder Than Bombs,Joachim Trier,usa|brother brother relationship|father-son relationship|car accident|death of mother,109,Drama,2015-05-18,43,6.3,2015,10119995.5472019,0.0
134,321751,1.2452239999999999,0,1702433,A Perfect Day,Fernando LeÃ³n de Aranoa,road movie,106,Comedy,2015-08-28,102,6.3,2015,0.0,1566237.67085542
135,266396,1.225325,40000000,10664749,The Gunman,Pierre Morel,assassin|hitman,115,Action,2015-02-16,283,5.6,2015,36799983.808007106,9811564.7629115
136,277685,1.191138,1000000,62882090,Unfriended,Levan Gabriadze,computer|bullying|revenge|internet|violence,82,Horror,2015-04-17,643,5.6,2015,919999.595200178,57851497.3453411
137,268920,1.178831,35000000,51680201,Hot Pursuit,Anne Fletcher,texas|prisoner|cop|drug cartel|on the run,87,Action,2015-05-08,472,5.5,2015,32199985.8320062,47545763.999863796
138,280092,1.1647239999999999,10000000,104303851,Insidious: Chapter 3,Leigh Whannell,sequel,97,Drama,2015-06-04,610,6.3,2015,9199995.95200178,95959500.6978197
139,193687,1.161812,0,118483,Z for Zachariah,Craig Zobel,love triangle|based on novel|jealousy|radiation|tractor,97,Drama,2015-08-13,181,5.5,2015,0.0,109004.312038102
140,300803,1.144808,0,0,Dragonheart 3: The Sorcerer's Curse,Colin Teague,magic|wall|druid|knight|dragon,97,Action,2015-02-24,59,4.5,2015,0.0,0.0
141,328589,1.142518,6000000,41387687,The Lady in the Van,Nicholas Hytner,based on novel|biography|based on true story,104,Comedy,2015-11-13,135,5.9,2015,5519997.57120106,38076655.2862716
142,228066,1.138395,40000000,34227298,Victor Frankenstein,Paul McGuigan,london|frankenstein|human experiment|reanimated corpse|frankenstein's monster,109,Drama,2015-11-10,408,5.5,2015,36799983.808007106,31489100.3047958
143,378373,1.128081,0,0,Brothers of the Wind,Gerado Olivares|Otmar Penker,eagle|learning to fly|eagle's feather|father son conflict|bird's nest,98,Adventure,2015-12-24,11,7.5,2015,0.0,0.0
144,291270,1.1252389999999999,8000000,3759286,Anomalisa,Duke Johnson|Charlie Kaufman,sex|depression|existentialism,90,Animation,2015-12-30,259,6.7,2015,7359996.76160142,3458541.59824169
145,294963,1.0733489999999999,1800000,0,Bone Tomahawk,S. Craig Zahler,poison|prisoner|murder|rifle|gore,132,Horror,2015-10-23,220,6.3,2015,1655999.27136032,0.0
146,241257,1.065888,0,17671101,Regression,Alejandro AmenÃ¡bar,investigation|memory loss,106,Horror,2015-10-01,310,5.2,2015,0.0,16257405.7667414
147,245698,1.0630549999999999,0,0,Pawn Sacrifice,Edward Zwick,chess|cold war|russia|biography|victory,114,Drama,2015-09-16,148,6.6,2015,0.0,0.0
148,353326,1.046518,0,11472454,The Man Who Knew Infinity,Matt Brown,england|indian|mathematician|biography|cambridge,108,Drama,2015-09-17,104,7.1,2015,0.0,10554653.0359526
150,250124,1.03839,2000000,1477002,The Diary of a Teenage Girl,Marielle Heller,1970s|teenage girl|older man younger woman relationship|based on graphic novel|teenage sexuality,102,Drama,2015-08-07,186,6.8,2015,1839999.19040035,1358841.24210985
151,290637,1.036825,0,0,Pay the Ghost,Uli Edel,halloween|police|revenge|burned alive|children,94,Horror,2015-09-16,114,5.3,2015,0.0,0.0
